track_id,track_name,artist_name,popularity,release_year
4CzzrsqMZ83grcE3y4YRdz,A Friend So Kind,The Choir,1.0,2010
14S7HUCWie9Gkf117sMbCr,A Happy Place,Katie Melua,10.0,2010
5FIp4LrsffxiHLhmmpCbCx,A Little Bit Stronger,Sara Evans,59.0,2011
3QwdvrKY66GppDxOirCm0i,A Lot to Learn About Livin',Easton Corbin,36.0,2010
2LWkL3kDIYuC1ajb3s6s5J,A Man Like Me,Randy Houser,20.0,2010
43pEbIGnCIeTWcnlwY9VT1,A Moment Changes Everything,David Gray,14.0,2010
1gg2pjLIkcxSnNfGORJ0u5,A Place Where You Belong,Bullet For My Valentine,46.0,2010
5WdHBxKaZNDIbu9NLdne7n,A Pot in Which to Piss,Titus Andronicus,19.0,2010
4ik5qvzbaBJYaspm7VwBL4,A Voice In The Dark,Elvis Costello,2.0,2010
4o6k1XHlrIZay8v1m5VU83,A Warrior's Call,Volbeat,67.0,2010
1r0XfrhdG6bsiS4oe1QM96,A Year Without Rain,Selena Gomez & The Scene,56.0,2010
3vkCueOmm7xQDoJ17W1Pm3,A&E,Clean Bandit,96.0,2023
2sK1yHjziJZkUCwCh1GkvD,Absence Of Light,Maximum Balloon,7.0,2010
6RjW45KHJ6kgI2xQ1aFa52,Acapella,Karmin,57.0,2014
5jWPZIt3Ix7sT7jmmkPjkX,Ache with Me,Against Me!,28.0,2011
269Zd0PGU6TZ0DR0HNltTE,Acolyte,Delphic,4.0,2010
3mhT9bRzLCchW4fRrgBky1,Act of God,Prince,16.0,2010
4wWQfo5vHRiwDsAVVEPPVn,Action Needs an Audience,Jimmy Eat World,30.0,2010
2HH2AFIT2VBwEs9NMFK1aH,Acts of Man,Midlake,44.0,2010
7kE1g5T0Mmc84izq9DirqZ,ADD SUV,Uffie,49.0,2010
778x5bolqJeICcrtSBNrko,Addicted,Jorja Smith,54.0,2021
3PDnTRxUNjxzF1OTd0amO8,Afraid of Everyone,The National,32.0,2010
0e6wX1fUW5WLaAb6875KO3,After 17,Alan Jackson,30.0,2010
6PFyGdWw0qnstR8KJAWrrr,Afterlife,Hailee Steinfeld,55.0,2019
5EP2pGo97siLzMjlJnKmNK,Age of Adz,Sufjan Stevens,34.0,2010
38WErIeVQbRoP0DUhndeIE,Airplane,Plain White T's,20.0,2010
6lV2MSQmRIkycDScNtrBXO,Airplanes,B.o.B,75.0,2010
5ZsjDfALqeCuvWRWQzMgPT,Akidagain,Travie McCoy,23.0,2010
2kaCiPEB373iNRnbxSI44x,Albatross,Foals,40.0,2015
7o3MZscX1C91i53vY5SN8N,Album Number Two,Joey + Rory,4.0,2010
7h6qJvYEuERyNN6cJxxCQV,Alcohol Blind,Drowning Pool,17.0,2010
41A89rj3GoMG6ktN37L7PG,Alice,Lady Gaga,57.0,2020
78x8gB6FVSDB9q01E7rlI8,Alive,Big Daddy Weave,46.0,2019
1Fx9aiORwv0cx5mFEBasHo,All About Tonight,Pixie Lott,51.0,2011
51HpNM8RKewP5PAuBLqXwy,All American Nightmare,Hinder,56.0,2010
79reBHqpRoWXaQbjBBY3UC,All Day,Kanye West,60.0,2015
5NEKjqTQPKiqOiOG8YxLdS,All I Do Is Win,DJ Khaled,59.0,2010
6a1WGK9LAc7B5ElYbnZW1a,All I Need,The-Dream,0.0,2017
1v6svH1Fyx9C1nIt1mA2DT,All I Want,Olivia Rodrigo,71.0,2020
17SFjTyt6kz24l744hQ90Q,All I Want For Christmas Is New Year's Day,Hurts,51.0,2019
1IUtgwxLYzDVd41EgbKUjX,All I Want Is You,Justin Bieber,74.0,2011
0zlru783fmr588D5RY9ERU,All In,Lil Baby,56.0,2020
7wMfeQ28fxxrliSXnzJhiy,All My Friends Are Insects,Weezer,26.0,2009
4wODOg3NPt56JE0sB6d5hY,All Night Long,Demi Lovato,35.0,2011
4EFsU6lPPhiHuFZ0A7lD9k,All of Creation,MercyMe,44.0,2010
22L7bfCiAkJo5xGSQgmiIO,All of the Lights,Kanye West,79.0,2010
1s8DkdE3uOWrGU7vonKrbK,All Over Me,Josh Turner,44.0,2010
0T8P86fvSK8kCUJFYPZbIH,All Signs Point to Lauderdale,A Day to Remember,66.0,2010
18JKvOJ3cXbGUePQWT3bLW,All the Lovers,Kylie Minogue,55.0,2010
2Y5jAUU9ljM8KAq0riqSYE,All the Pretty Things,Tenth Avenue North,21.0,2010
6XVpzbg9VTPO4t5ZtlHLp7,All The Way Down,Little Big Town,15.0,2010
7F4o128Eh33lonJrkBNbZQ,All the Women I Am,Reba McEntire,23.0,2010
3mfNVvKZJ1il6Nx2dRHfTi,All These Strangers,Elvis Costello,2.0,2010
0SuLAslEMFZAXf0SwY7syi,All Time Low,Jon Bellion,65.0,2016
6St8dLqmkuzbs0XDtNOZyQ,All We Make Is Entertainment,Manic Street Preachers,12.0,2010
0YVod4M0y6LTIVNyKXWjDq,All You Need Is Now,Duran Duran,25.0,2011
4fnrAIfaolUx93WauNVH7b,Alley Cats,Hot Chip,30.0,2010
3s6fCIBZZLfgbA0fXJdY2o,Almost Alright,Blake Shelton,14.0,2010
7aFBi1XzzaHiZX23yYbntO,Always Loved a Film,Underworld,35.0,2010
4zpmvqWwM85sDGnBAoPCnn,Ambitions,Joe McElderry,25.0,2010
4gmivt1Q8UbnQZMVHLH43v,Ambling Alp,Yeasayer,37.0,2010
3Jnsn0AUysVxzN9fgJIZPR,America,London Grammar,33.0,2021
1PWYt2W8o6iWgUZ2GsKNhp,American Daughters,Sarah Buxton,10.0,2010
4xInIiKipU1mtUogJ3ZdYr,American Honey,Lady A,62.0,2010
4bbecACyQCPJbg0zasipAb,American Slang,The Gaslight Anthem,43.0,2010
42rE3VFq8qsu4Ed4G0IyO3,American Spirit,Tom McRae,4.0,2010
74ZgmOWM9pzxvupnU3pXR0,Amorosa,Pitbull,13.0,2010
454I78HEySdcHE8fcVabTb,Amsterdam,Nothing But Thieves,66.0,2017
2MtYZGoAyJeMnaSwUNPmvG,An Anthem For The Young At Heart,Amber Pacific,16.0,2010
46eH3Gw0LUR5Ys3wBgbwVd,Anchor,Alejandro Escovedo,26.0,2010
4I3EPhVMreF7mRVuFygBlX,Andalucía,Doves,22.0,2010
2C0KFbb4v9CNWR5c9jWcKC,Andromeda,Gorillaz,63.0,2017
2soZTM1x1GBiQGMAsXKXpd,Angel,Halle,61.0,2023
6714OiO6561bwif4r8SWMQ,Angel Dance,Robert Plant,25.0,2010
2YvWjSDGGkBcE5bfFUWOXi,Angels Cry,Mariah Carey,38.0,2009
0YL8f5tV78ZyflRWwEisXt,Animal,Aurora,46.0,2019
4tXWVLyuoifdkM1ZQNwNVM,Annabel Lee,Stevie Nicks,24.0,2011
0ld3oDxWi9LJW1NoeabYft,Another Bad Day,Vince Neil,17.0,2010
4VZHh61SluOmfMUxlP51YQ,Another New World,Josh Ritter,19.0,2010
1vsna10t4f58lQ08V9Kced,Another Night Out,UNKLE,7.0,2010
3EZAnO8lnPCBCcJcwAZbEB,Another Way to Die,Disturbed,51.0,2010
4jvTsIMQEbfJUYe6NrtkE2,Any Girl,Lloyd Banks,28.0,2010
3IGp5hitRg1PZ06OuaHvaw,Any Which Way,Scissor Sisters,38.0,2010
4v0cZSD7ldEDc2DDLEcedY,Anyone But Him,Mr. Hudson,19.0,2009
1tm0ed6Bh8lDkcszWu6YrJ,Anything but the Truth,Jack Johnson,36.0,2010
56vEHATwwS1USNvzQTBeOX,Apartment Wrestling,Maximum Balloon,6.0,2010
2ttU9n7nBz6aqiwxiElF0G,Aphrodite,Kylie Minogue,34.0,2010
2TAcwD5KcV9uY3O1tLGV15,Are You Gonna Kiss Me or Not,Thompson Square,45.0,2011
2796ENYjtFQ3wCrKBGjSq4,Are You Here,Corinne Bailey Rae,21.0,2010
7JSkuWH5flEv9Qul4ee2R1,Are You Ready to Live?,Korn,29.0,2010
6GWt3Rxk4mOsR7UzyUoOjg,Aretha,Rumer,12.0,2010
2ieyivTmtEnDfwFdUFyrJY,Arlene,Crystal Bowersox,5.0,2010
6Mll2CRQ6neUAIPYJTEOgu,Armada Latina,Cypress Hill,41.0,2010
2grSlGaNZID8Fo41gEyOqA,As Bad As It Gets,Jewel,6.0,2010
23Zan82VzJuvVlSk3FQUc9,As It Comes,Fran Healy,7.0,2010
65UCejW01DAovmluVYHWAt,As She's Walking Away,Zac Brown Band,64.0,2010
1hxcg5FRB5lZv5PdAThDpe,As We Enter,Nas & Damian Marley,50.0,2010
3Pj6u2KTgepyyidp5xfbHp,Ashes & Pearls,Debi Nova,73.0,2020
02S43GL6ir6iS87tHl9kdP,Assembly Line,Randy Montana,9.0,2010
5W7xC99N2Zzfh69r7I7zWK,Aston Martin Music,Rick Ross,69.0,2010
7lomZYWSJafp2msfEQyjy5,Asylum,John Legend,31.0,2013
1K4VZwgvFxs68itkIULbLq,At or With Me,Jack Johnson,39.0,2010
4y6aEDPYJ2ObOWoDL84W9u,Atlas Air,Massive Attack,39.0,2010
6P2GO9dk1LQ9dgb3XjjzFY,Attack Music,These New Puritans,12.0,2010
1N9669cH5eB8KmDtfkyzPB,Audio Secrecy,Stone Sour,22.0,2010
04dv9cmB2ZaAC5EgewTKek,Avalon,Blur,43.0,2023
35QGdv6aFbIaLM0Ozr3rHt,B.M.F. (Blowin' Money Fast),Rick Ross,55.0,2010
56gIMfbYgE8T317pqNNxrk,Babel,Mumford & Sons,55.0,2012
4wHkV6OpCanrNg2PRNhWjM,Baby,Aitch,61.0,2022
0ke4IojV8Obzrwv0yPbj3B,Baby Don't Cry,Jamey Johnson,27.0,2010
1uyr9SxRvMsMUYV1PmAgyf,Baby Drugs,Tristen,33.0,2014
6HfFLqjxyFJYx1V0olSKof,Back Down South,Kings of Leon,59.0,2010
2hVPDYGExN6ux01zQvUwyr,Back From Cali,Slash,31.0,2010
2pKYvGfgCbWiDkhBtXeLnf,Back from Kathmandu,OK Go,15.0,2010
79uDOz0zuuWS7HWxzMmTa2,Back To December,Taylor Swift,80.0,2023
4GRFzKI7jTZ3kbMfouc7bn,Backstabber,Kesha,72.0,2010
6XprgCfzda230rIyC2B9wS,Bad Angel,Dierks Bentley,34.0,2010
3wA4ronkc8ZcPXUP0fDgYA,Bad Day,Justus Bennetts,58.0,2021
2eUPwmBnjYDCtF25ibupuk,Bad Day of Fishin',Billy Currington,34.0,2010
58TIrtnGWsPYJU9fZkhU9O,Baddest Chick,Alesha Dixon,3.0,2010
66qDyzKG7QHaTDkNXfIt9A,Bagman,Stone Temple Pilots,11.0,2010
1P5RYVvxPVrzonLqAC8uxk,Bang Bang Bang,Selena Gomez & The Scene,44.0,2011
6HkmOvGpoYrJ1BdppBNp2t,Barbra Streisand,Duck Sauce,49.0,2014
17knVhI4JVV60QiqT4Vyet,Barely Breathing,The Hold Steady,1.0,2010
2R0yDqFfgcgECnVsMeU2au,Barnacled Warship,Johnny Flynn,18.0,2010
0Ro229LtstQbd4P3dRAXUD,Barricade,Interpol,41.0,2010
0pgguZfCgwEpPQDG4znRax,Basic Instinct (U Got Me),Ciara,17.0,2010
7AXUdQmZMA5u221iv6gB0m,Basket Case,Sara Bareilles,32.0,2010
4Xf7EL8G6FRYwvJADl0nf4,Bass Down Low,Dev,45.0,2010
6E8ZJ5IpIGTlPrBWDx7tto,Battle,Chris August,25.0,2010
2AGL82tDc0YFvaMolOTsGd,Be Good Until Then,Butch Walker,15.0,2018
0fonaf88IEDQM309zmU80L,Be My Baby,Ariana Grande,61.0,2014
1B5tiGNcOHERcXcBHiL6Xs,Be Still,The Killers,52.0,2012
3NMU74T6ZvZQ8KJayrCWPo,Beach Side,Kings of Leon,53.0,2010
0cNJ3huiV99wvUN1tmQLTL,"Beamer, Benz, Or Bentley",Lloyd Banks,55.0,2010
683Zk6vfjq0drFQmzKYnsK,Beat Is Up,Liz Phair,3.0,2010
61OOEzfcJvTLHhFiLZOGRN,Beat The Devil's Tattoo,Black Rebel Motorcycle Club,51.0,2010
5kYSScXYOZYyi0fxramiW6,Beautiful,DJ Khaled,61.0,2022
0TyZ9ebypz8PPVxl5D74yf,Beautiful Dangerous,Slash,33.0,2010
19bOTe6YIbLkO3aAokHKzB,Beautiful Every Time,Lee Brice,31.0,2010
2Q99zPXVqCPN5RaZawvJWZ,Beautiful Monster,Ne-Yo,57.0,2010
6nsGda4FKwxNaJ85qShY6z,Beauty in the World,Macy Gray,44.0,2010
29XJevW3K257YA1F8cteTf,Because of the Shame,Against Me!,40.0,2011
0YA8lQCSWxcvMP76G75w5L,Bed Intruder Song,The Gregory Brothers,0.0,2011
6AkRqV84p8svfPsttfhMJx,Bees,Warpaint,20.0,2010
2q6GpGV3HC67QbNrBcZLxl,Behind The Mask,Michael Jackson,42.0,2010
1fckqKAI9ug7U1DgQrrOop,Believe,Meek Mill,44.0,2012
3YjuJmS3uwIVQo5CGqK024,Belinda,Ben Folds,14.0,2010
2etHQJxIbV0soyPhelVs9Y,Best Friend,Saweetie,69.0,2021
6fXnvKnT6f647ZcjKTTtz9,Best Of Joy,Michael Jackson,38.0,2010
1KkxtIMy5n9AN0hhlzWbAc,Best Of Me,Alicia Keys,36.0,2021
6qblu5bhHV9qJXuvBXgd4m,Best Places to Be a Mom,Taking Back Sunday,30.0,2011
1uJxliLGLZM4G30xHT484I,Best Winter,Tom McRae,16.0,2010
5qiG5FhrnE7dl0ZxhKc3My,Bet I,B.o.B,52.0,2008
6RlliUfY8hTxnaK85e6D5Z,Better Than a Hallelujah,Amy Grant,38.0,2010
0NwGC0v03ysCYINtg6ns58,Better Than Revenge,Taylor Swift,76.0,2023
79RuU2HG7oRQwTlWiXJMwf,Better Than Today,Kylie Minogue,32.0,2010
0b4za5w3nAeWkoJMSLQAiU,Between Bare Trees,The Choir,3.0,2010
3b7OoX6gbAzo9ezvAtH9rw,Between the Lines,Stone Temple Pilots,30.0,2010
7HZXPJnjvbtmNvZfLxQFAG,Beyond Our Suffering,As I Lay Dying,30.0,2010
7JyuSypL09ysEkvvGr3Pes,BF Bass (Ode To Olympia),Bryan Ferry,11.0,2010
3mTyzSoSqh6KJj9p88WHaY,Big Night,Big Time Rush,39.0,2010
45VugoW5rHn10hloUhEPcV,Bigger Than Us,Michael Rice,32.0,2019
6d5CfH0P84foEd1fkmp7po,Billionaire,Glee,41.0,2010
3Vf1gIyoOSHPQTycGpVKju,Bionic,Christina Aguilera,36.0,2010
1LnEy9O3sYTeO6KiPHKGHq,Birthday,Disclosure,42.0,2020
7F8xYAzJZK7LJ5ra1Jopwk,Birthday Boy,Drive-By Truckers,17.0,2010
4bxdSskxLQPZNFrUQ8DxPf,Bitter Divisions,Against Me!,21.0,2011
31XJG3IzNL8FPYsVhcYDvB,Bitter Pill,Mt. Desolation,4.0,2010
6PMBbwveuclVCMePlnbU0L,Bittersweet,Ellie Goulding,39.0,2012
02PTdS9L4BFXOtNvyM1ukF,Bittersweet Memories,Bullet For My Valentine,51.0,2010
5A6OHHy73AR5tLxgTc98zz,Black and Yellow,Wiz Khalifa,75.0,2011
71KotlO2JOtE0ma0lHQ65Y,Black Country,Black Country Communion,29.0,2010
575QxYiBezic1YhcP7ztqT,Black Rain,Keane,19.0,2012
6crQXVjYG9t4gjnvbOhtKd,Black Sheep,Yonder Mountain String Band,6.0,2015
3Mewpq74C5yEjPxHfbdmgC,Black Water,Ruth Gerson,0.0,2020
0MYsivOyMujsnY33Xd7reo,Blackbird,Madness,15.0,2016
3OSI1nptaftRUpxAkv8ym9,Blackout,Garbage,5.0,2016
7lWUJpax919G4JdaFEVmCy,Blah Blah Blah,Kesha,67.0,2010
4EndPA8b6FDWYp1RgsnLEB,Blame Game,Kanye West,63.0,2010
7M68YTelBnT9P1eO1idOOs,Blame It on Waylon,Josh Thompson,46.0,2010
0PUumAPLPev8uyD0N0gWr8,Blame the Machines,Duran Duran,5.0,2011
3g8IZkTL7EYqtmKCfxvHq3,Blazin,Nicki Minaj,45.0,2010
5QytK3mFNMckdsgVdCv5Lf,Bleeding Heart,Jimi Hendrix,37.0,2013
4ABQrOn4PcXmLQC0Xyf3x9,Bliss,Buckcherry,13.0,2010
3o7OYW2Q9zUy6OxpiccAVO,Blood is Blood,Mary Gauthier,3.0,2010
6V472EZ0ymkw3zEDOqlIew,Blood Like Lemonade,Morcheeba,52.0,2010
7yXSsBfB6qvBJhmK1irhf3,Bloodbath & Beyond,Soulfly,58.0,2022
3lnF83kG6ePhTSWRoW62dO,Bloodbuzz Ohio,The National,48.0,2010
6EbduYTr62sSzvl36wWiFM,Blow,Ed Sheeran,61.0,2019
2Do1L5N6kvGZJPQ7QTQTAk,Blowin' Me Kisses,Soulja Boy,46.0,2010
2zjJ36a6rB7MI7jiHnaAJx,Blue Beard,Band of Horses,34.0,2010
3javCHQDuV4sg9XKCQJN7N,Blue Blood Blues,The Dead Weather,41.0,2010
1MKfplOg9xC8EIzL9nMBWi,Blue Skies,Lenka,47.0,2015
3wauST900TNdlPA66c7TdI,Blue Sky,Common,31.0,2011
6yAISR7dQOQojG38V1wLCB,Body Parts,Plain White T's,17.0,2010
2FYrAXEClfsOYtk7B9lK8x,Body Shots,Kaci Battaglia,34.0,2010
1tWuDExljxWDWG6hnbSilQ,Bollywood,Liz Phair,8.0,2010
1UNAe1Y3ndCl68yPKpZS7T,"Bon, Bon",Pitbull,54.0,2011
58Q0jJjBAgo0WAoWUEi6HM,Boomerang,Jana Kramer,21.0,2015
48r61fmMtlyjaMgXhi0Go6,Boots,Hardy,64.0,2020
0uRrG2jRR5tuifsYIJHEao,Boots & Boys,Kesha,76.0,2021
18zQTt3ifDv6iLni2YuXMg,Born Again,Rihanna,54.0,2022
0nzsQbMirivcvRc6rNfXSp,Born Free,Kid Rock,52.0,2010
1vSm3f12lmOZnvGXmIE93W,Born To Be Your Woman,Joey + Rory,31.0,2010
4CIMIZRcwllSonMlzr5wd2,Bottoms Up,The Boyboy West Coast,47.0,2019
1wfsEe3xb2kvWv8dXD5k5m,Bound to You,Christina Aguilera,50.0,2010
7neVcKsbivjMDIkdfoao5m,Bow Chicka Wow Wow,Mike Posner,52.0,2011
3sFC56Ve0rWhNoh4sNhKxY,Boxer,The Gaslight Anthem,35.0,2010
3gLw7MgKKAoirVrp0zT0bj,Boy Falls From the Sky,Reeve Carney,19.0,2011
3hRG2nZPcYUN0VYohLBds1,Boyfriend,Usher,57.0,2023
2qUDxmiWrOqpjiTYv8hsUd,Boys In The Summer,Jessie James Decker,26.0,2010
2mboV6wnVUtMIUlzIbtPWp,Brainwashed,Devlin,34.0,2010
05Q8DT8pyXJrxI6kCLzjdh,Break My Bank,New Boyz,33.0,2011
7FnHglwH7D8a9IJAUHLv91,Break Open the Sky,tobyMac,23.0,2010
4GQL50FHlcvHYlfcEiWoDv,Break Ya Back,Timbaland,12.0,2012
7K7YEejtHd4rK57J6QkuMr,Breakdown,Prince,25.0,2014
5duR1jvJ2E0IOoYresQIkQ,Breaking Point,Bullet For My Valentine,42.0,2013
0KsB4TwgATg88aXCMBoO3Y,Breathe,Jax Jones,56.0,2017
4QbVaPjV46w52zemaIWYl8,Brian Eno,MGMT,37.0,2010
6fbbg7VzHuUD78ZOTiqDyU,Bright Lights,Tinchy Stryder,10.0,2012
2zT5npcA5n2RhhnBiWg3zo,"Bright Lights, Bigger City",Cee Lo Green,47.0,2010
4iqkUk1kvVMZqxwJjKJJhu,Bring On The Wonder,Sarah McLachlan,28.0,2010
6ZKGdsNCvOlBhGtb259jDQ,Bring The Light,Beady Eye,7.0,2011
30nMa90oTf1bRnByWAPvQk,Broken,Cole Swindell,39.0,2023
4ETuk7bkreL9gkDOZQ4djV,Broken Arrow,Pixie Lott,33.0,2010
7GcjV9jtNmIumI2UA6tDyK,Broken Girl,Matthew West,31.0,2010
3YA509E9ki7a3Ic9cf25Vt,Broken Record,Alex Ebert,41.0,2017
38zT0iM48s9stni2PFgttW,Broken Vows,Pegi Young,0.0,2010
2WL8MVwpWCV0OHsd1mzxPn,Brown Chicken Brown Cow,Trace Adkins,35.0,2010
1UPk2HZfO92iNin2dErt8H,Brutal Hearts,Bedouin Soundclash,46.0,2010
6CiPGcWJ3YykntxFjaaOJH,BU2B,Rush,33.0,2012
6w7ily4cFWEPO0XWFQYeUO,Bulletproof,Godsmack,46.0,2018
2EGF4JrisrJ4D4HOdTyYEO,Bulletproof Heart,My Chemical Romance,58.0,2010
6bGac1gBHs7kUKihrudMzq,Bulletproof Love,Pierce the Veil,64.0,2010
26bRcXA9qmivWYTPocMlfT,Bullets In The Gun,Toby Keith,44.0,2010
6XVNAV6TN8PI5sT5ptxO6H,Bully,Robbie Williams,19.0,2014
022DoLVJCvKytVAfyp8mPw,Burden Of Tomorrow,The Tallest Man on Earth,34.0,2010
0hsz6sDH0M6Kbudfkdbsnp,Burdens Of The Past,Amber Pacific,8.0,2010
1X8E4vVoOM3BpSQlEDSjjM,Burn,Juice WRLD,71.0,2022
74d6TJmbOtWswxvbQ3m1eu,Burning in the Skies,Linkin Park,42.0,2010
6GKh4a7XVkzgpvEGXNAOHP,Burning Your House Down,The Jim Jones Revue,6.0,2013
2NNFzMWduMDvK8KgR0708E,Busy,Olly Murs,37.0,2010
2RfMsytsSBmHdOkZyrOyLT,Buttercups,Fran Healy,12.0,2010
52x1lzU0uDiPdbhD0q1red,Butterfly House,The Coral,6.0,2010
4d7HyOmNEpi55uv96g4Iyt,Buyou,Keri Hilson,34.0,2010
1j9JbLULlyeUltlcowiEhI,Buzzin',Blake Shelton,30.0,2014
7qSPdNGrKbaqLg6HqflCoZ,By the Sword,Slash,28.0,2010
4g8ZkBHormM5rgpVCePO1P,California,Maia Sharp,3.0,2023
3NiTxcRO3OqqLKRvvPmEey,California English,Vampire Weekend,36.0,2010
6KOEK6SeCEZOQkLj5M1PxH,California Gurls,Katy Perry,71.0,2010
1NpDnkQO0yWxTtntrC0UNz,California King Bed,Rihanna,66.0,2010
2sCoROOlNQyFpRQEe6A5lv,Call Your Girlfriend,Robyn,49.0,2010
7vLeZPIeblZLz04hLRRAES,Cameras,Matt & Kim,38.0,2010
3OZMvQWn1h4GKsWFOtOCAW,Can't Afford to Love You,Blake Shelton,16.0,2010
51NrdlQOSTeq0d6U7xRKsz,Can't Back Down,Demi Lovato,50.0,2010
2r6DdaSbkbwoPzuK6NjLPn,Can't Be Tamed,Miley Cyrus,63.0,2010
69fr8bwgevJcgjndCNVNKK,Can't Make This Over,Pixie Lott,18.0,2010
2zCruKarW8FMGbK77z2yh6,Candy,The Singles,15.0,1991
4XQ4LiJPSQXOxa3ap31Z4g,Cannibal,Marcus Mumford,35.0,2022
2G8PweZBBwTpyP8vpNQJK2,Caraphernelia,Pierce the Veil,68.0,2010
43l8BalXmo4y50runkgJEh,Caravan,Rush,35.0,2012
37tVeUNAheOlcz7Zk74wJg,Cardiology,Good Charlotte,21.0,2010
1aTf6n7MSd9z1LQYJEcmqF,Care,Beabadoobee,50.0,2020
6KaPEuQFd8KKMzwJTAoGIR,Carol Kaye,Laura Veirs,23.0,2012
028YVGPriWJA1tbHgy8Y5K,Carolyn,Black Veil Brides,41.0,2010
7D6lqTDtCTGTVHipp5jRIZ,Carry It,Travis Barker,21.0,2011
7f6gNYtaXuEFanKOJxeXS0,Castle Walls,T.I.,40.0,2010
3r8VnoouQeeKyuj7f8YFI9,Catch Me If You Can,Burnham,13.0,2010
4vz08PJWtNfX5F2szsTUKg,Cease to Exist,Rob Zombie,18.0,2010
2JDOUr7e3K4Fm5kCOj249t,Central Two-O-Nine,Robert Plant,24.0,2010
7p8l7HiPoz90dg423iURKW,Champagne Life,Ne-Yo,48.0,2010
1DRUwJSt2YOUUEz965OJ66,Champion,Fall Out Boy,55.0,2018
3HFBqhotJeEKHJzMEW31jZ,Change,Big Thief,60.0,2022
0XOFcehytlH0JTONOZq0SQ,Chautauqua County,Lemuria,5.0,2011
33BMD5Z0tLh1cn89XD71F3,Check In,Lecrae,27.0,2010
16cakH9WAJ3C4eI50f5WSB,Check the Level,Dirty Heads,31.0,2012
3DDBW9yeXc0RQUAOBeKYti,Cheers (Drink To That),Rihanna,53.0,2010
4eSP8ki1YvQ10e0IeaOcOj,Cherry Red,Ida Maria,21.0,2010
0LQtEJt7x0s6knb6RKdRYc,Chicken & Biscuits,Colt Ford,77.0,2008
3SH6SUXiafCBvdw7e0eepg,Chinese Whispers,The Dillinger Escape Plan,23.0,2010
2g1rPqS1PYdn90ee5x24c9,Choices,The Hoosiers,37.0,2014
31Jpso2EL4DipqSSypIJS4,Christmas Is Here,Buckcherry,28.0,2010
40gk32E7YaTFoQwDIWv2SY,Christmas Kids,Roar,77.0,2010
4fzyvSu73BhGvi96p2zwjL,Christmas Lights,Coldplay,86.0,2010
7ltMfthWU16dVzcZJ07JcK,Christmas This Year,tobyMac,55.0,2011
3EIWS8G1IxukV3q6OrSYzs,Christploitation,Fear Factory,25.0,2010
76CmXL1mMRx2y8JeSXNokq,Cigarette,Kelley Ryan,0.0,2017
4SE4yewyGpOYfxfx59Yjc5,Cinderella Man,Eminem,69.0,2010
48pL4zB6KXWPvd7Ln33ENy,Cinnamon,Hayley Williams,46.0,2020
61nq0jg2PYWxUUiarofGBI,Circle The Drain,Machine Head,52.0,2020
1tgRwVHjQb7V8dEMB2PMFx,Cirque Dans La Rue,Plain White T's,19.0,2010
2UI9qShtz4xwB4BvzVAAiM,City Is Ours,Big Time Rush,42.0,2010
