Music Name,Artist,Music ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms,Key,Mode,Time_signature,Popularity
The Boy Who Murdered Love,Diana Vickers,4QH0TjT9GJRiePoKOlTAmD,0.000816,0.749,0.848,0.107,0.369,-5.286,0.0397,126.955,0.698,201013,11,0,4,33
The Boys of Fall,Kenny Chesney,2Y48Q7HryWdPJZypJotjlJ,0.227,0.503,0.648,0.00124,0.378,-6.243,0.027,147.942,0.39,391853,7,1,4,53
The Catalyst,Linkin Park,4tXBsD5sEzxlJjWCOz6qzs,0.0372,0.56,0.925,0.0,0.104,-5.48,0.0362,135.009,0.178,339853,0,1,4,54
The Children,Yeasayer,0MRraTJhbyDEkymZiSsBh9,0.000917,0.544,0.388,0.941,0.179,-9.309,0.0326,75.328,0.103,192227,4,0,4,20
The Climb,Joe McElderry,7J6hgf9j9VQDj3cdnRW8Ov,0.611,0.35,0.547,0.0,0.169,-5.399,0.0306,79.427,0.322,216387,10,1,4,41
The Club is Alive,JLS,2nhMJ4cTB3gSMznQvoDyD3,0.0281,0.62,0.786,0.0,0.105,-4.769,0.0385,143.996,0.743,223000,3,1,4,52
The Coast,Court Yard Hounds,3SDBgGdsrFT0QtxqOQNwew,0.0547,0.502,0.871,0.0,0.152,-3.265,0.0325,116.898,0.464,184640,0,1,4,16
The Comet Song,Björk,3FHe0sqntl8brmx8cBf2sy,0.796,0.393,0.28,1.65e-05,0.091,-9.984,0.0607,103.076,0.105,137067,7,0,5,13
The Consequence,You Me at Six,42Da622nCy4WpuIR3cO2Ue,0.00108,0.357,0.922,0.00431,0.632,-5.735,0.111,159.929,0.205,266947,9,1,4,36
The Courage of Others,Midlake,1nqwhUyXnvZyZOOaNiGEPR,0.0924,0.533,0.635,0.109,0.164,-9.63,0.0263,124.062,0.314,235320,9,0,4,28
The Curse,Agnes Obel,7hiY7fVxa0LEUeUP4F4ReR,0.866,0.613,0.24,0.0178,0.0709,-12.056,0.0303,95.019,0.436,353278,0,0,3,59
The Dada Polka,Magnetic Fields,1SrlmBWdT8VAd5Bswhf3Vi,0.641,0.529,0.752,0.00887,0.774,-7.792,0.054,131.998,0.538,141640,2,1,4,8
The Damage Has Been Done,Evacuate Chicago,7cthqM91m4nSeLKXFDOmtB,0.00131,0.414,0.947,0.185,0.367,-4.727,0.0626,138.377,0.448,142827,4,1,4,1
The Dark Hills,Day of Fire,77xqAhbzQ6RhOVcSkGHFUT,0.0336,0.417,0.637,0.0,0.104,-8.068,0.0417,130.949,0.0622,311867,0,0,4,20
The Death Of Emmett Till,Bob Dylan,1Vzgr8q0YRNpj5bk89YB6y,0.979,0.529,0.227,0.00339,0.0889,-15.95,0.0328,108.346,0.477,270120,4,1,4,23
The Devil In Stitches,Bad Religion,46j2pUfj5WDL8dnrRwBIBE,0.000214,0.53,0.91,0.000963,0.058,-4.032,0.0614,145.021,0.772,208587,2,1,4,31
The Difference Between Us,The Dead Weather,1rKVoEcVjKoqP8txvxjjFR,0.00849,0.332,0.98,0.0,0.81,-2.043,0.128,117.236,0.201,217320,0,1,4,37
The Drug,Röyksopp,5XJ8hRyorBvUaajwjQnuMf,0.0949,0.499,0.443,0.874,0.0966,-15.002,0.176,122.314,0.162,358027,7,1,4,32
The Drug I Need,Against All Will,3nyPgaipq5SiVkvSlxFS9i,9.81e-06,0.316,0.925,0.13,0.0562,-3.66,0.0739,154.85,0.523,189800,3,0,4,38
The Ellan Vannin Tragedy,Richard Hawley,3B6PW4DdWHM2V9TaUqTIFX,0.873,0.536,0.266,0.355,0.11,-15.482,0.0304,111.98,0.25,290507,7,0,4,15
The End,In Flames,7icbQ9Y2IQbI8CgXQCzA8c,2.02e-05,0.438,0.973,0.000786,0.0863,-4.523,0.151,150.034,0.295,222154,10,0,4,53
The Face,Kings of Leon,47NGN2PkaBo0ap4XF5LbJ2,0.00594,0.401,0.698,0.082,0.077,-5.0,0.0376,143.421,0.321,208187,9,1,4,52
The Fight,Sia,5Ok3uOPbafn05DRISYECGv,0.0609,0.675,0.852,0.0013,0.612,-3.739,0.0463,108.998,0.804,218280,6,0,4,21
The Fire,Matt Cardle,5y7yaymkx1OhkLMb794WCG,0.947,0.219,0.069,0.0033,0.09,-11.856,0.0412,171.549,0.105,229480,0,1,3,33
The Flood,The Lyre Ensemble,1OWv06xSpcaNE1eQwUJPvF,0.973,0.312,0.0185,0.0,0.101,-23.136,0.0441,79.939,0.105,346320,2,1,3,7
The Flying Wallendas,Drive-By Truckers,3KGQHqG5EPQcuhGtnXl2VL,0.109,0.409,0.483,1.13e-05,0.107,-5.614,0.0267,93.885,0.2,316427,10,1,4,8
The Foreboding Sense of Impending Happiness,HIM,1SyDsiec6wZZNz9UNTt28e,0.0878,0.5,0.81,0.0607,0.127,-7.646,0.0474,132.046,0.545,193973,6,0,4,29
The Future,Nathaniel Rateliff & the Night Sweats,5yTpyXVKcB20zOGXU1ffgf,0.353,0.52,0.591,0.00412,0.102,-3.225,0.0301,151.089,0.359,279187,6,1,4,54
The Generous Mr. Lovewell,MercyMe,4NhrQcDX2F2ty5YTfmcehu,0.00186,0.534,0.873,0.0,0.382,-4.66,0.0347,81.488,0.621,250800,4,1,4,28
The Ghost Inside,Broken Bells,32fmQsWSAaDas2MJRyMSGG,0.0571,0.869,0.7,0.414,0.0691,-4.966,0.0419,103.983,0.983,198040,2,1,4,62
The Ghost Who Walks,Karen Elson,3KrujCpaooRF2xXc7cfULh,0.239,0.475,0.765,0.0191,0.0831,-5.914,0.0455,90.077,0.328,182027,0,0,4,39
The Girl Who Destroys,Amber Pacific,2RNR9ttzaAoZOuwRo51G1c,0.00016,0.442,0.971,3.84e-06,0.104,-1.627,0.0562,155.089,0.398,185053,10,1,4,15
The Good Book,Tired Pony,2FOvQ8n9SMN8DZj2A626cN,0.815,0.56,0.27,0.462,0.0987,-15.02,0.0342,130.883,0.154,190907,5,1,4,11
The Good Life,Robin Thicke,6PIPSy5jvrYr1b2bYwimRr,0.244,0.53,0.598,0.0,0.194,-4.675,0.034,207.015,0.713,192880,7,1,3,24
The Great Divide,Luke Combs,3q3lSbfT5BnQlIvGwahgAD,0.597,0.671,0.686,2.24e-06,0.283,-8.269,0.0271,111.007,0.547,211990,8,0,4,65
The Guitar Song,Jamey Johnson,0jlqvPEW6s0U8vDJuIYCwU,0.331,0.648,0.645,0.00212,0.21,-8.334,0.0333,116.593,0.692,193773,9,1,4,48
The Gun Show,In This Moment,2qc2uSwYlXSg5msv7VZ81c,0.0297,0.176,0.981,0.000358,0.332,-3.387,0.143,184.843,0.0703,286453,9,0,4,42
The Hands of Angels,Elton John & Leon Russell,43HjNdGLxA1RF2XTyFQJzo,0.895,0.429,0.276,0.135,0.116,-11.359,0.0281,93.188,0.249,283283,2,1,3,16
The Harold Song,Kesha,7ySQMmekH58Y7Vn4InRG7r,0.0893,0.616,0.59,0.0,0.0883,-5.548,0.0294,110.022,0.198,238693,7,1,4,45
The Horse Nobody Could Ride,Joey + Rory,2fVxwlPnI5waaEoMPzrovr,0.867,0.682,0.331,0.0,0.137,-8.076,0.0313,110.203,0.386,174173,9,1,3,19
The House,Katie Melua,5g1PUxBJH682Jzd3XSZV58,0.0398,0.354,0.619,0.0423,0.223,-6.632,0.0327,122.052,0.145,243693,6,1,4,16
The Immortals,Kings of Leon,5cjS3W5FXywVMJ87MsMYCE,0.00484,0.347,0.832,1.68e-05,0.103,-4.811,0.0807,126.693,0.384,208933,4,1,4,47
The Infection,Disturbed,7pJcMQXKQiR9mmCeLt9lFm,5.88e-05,0.401,0.953,0.0112,0.213,-2.119,0.0814,188.039,0.37,248840,11,1,4,49
The Invasion,Trip Lee,5Nh9XGxTjoHopixqiqkakR,0.425,0.554,0.872,0.0,0.414,-5.805,0.359,145.996,0.357,336920,4,1,4,25
The Joy,The Throne,7852lIbeJTHQAK1L1zG25g,0.888,0.466,0.0631,3.69e-05,0.185,-18.502,0.0323,139.209,0.196,171500,0,1,4,0
The Kids From Yesterday,My Chemical Romance,5A0OekqQy0rb1pcsf4k0J7,0.000155,0.553,0.897,0.0225,0.0972,-4.297,0.0444,120.007,0.361,324973,2,1,4,53
The Last Fight,Bullet For My Valentine,79rFv44RxuMb70y6sHC14l,0.000456,0.299,0.971,0.0,0.283,-3.118,0.142,184.549,0.336,259307,7,1,4,56
The Last Laugh,Karen Elson,74YroYk6AbH3cBlukGfeXN,0.473,0.355,0.195,3.39e-05,0.0976,-15.39,0.034,99.38,0.259,188307,10,1,4,5
The Lazy Song,Bruno Mars,1ExfPZEiahqhLyajhybFeS,0.3,0.794,0.711,0.0,0.0955,-5.124,0.0699,174.915,0.955,189109,8,0,4,75
The Lesson,Maximum Balloon,3Fq9HG3pRebWPGKm6Z7aj4,0.0424,0.587,0.821,0.0072,0.0748,-5.687,0.0582,123.009,0.547,246240,1,1,4,4
The Lonely Moan,The Besnard Lakes,2gxb6NtWVFO24MhLqnN6pL,0.915,0.193,0.281,0.905,0.164,-13.375,0.0341,99.71,0.0359,259693,11,1,4,7
The Luxury of Knowing,Keith Urban,3VykCP5xYxzmtxnNTq3cI5,0.325,0.56,0.376,0.0,0.181,-11.624,0.0281,133.636,0.236,255587,0,1,4,16
The Man Who Laughs,Rob Zombie,4UJ8UD6u5LTtnltECvdD6k,0.00183,0.302,0.77,0.851,0.197,-3.976,0.0339,141.978,0.0377,446947,7,1,4,22
The Man Who Stole A Leopard,Duran Duran,7pxSYxseDVyJH0jBg9tJNx,0.00109,0.654,0.697,1.58e-06,0.095,-6.101,0.0462,120.001,0.415,374573,0,0,4,23
The Manual,Travie McCoy,65bMa6J2S7rIbvvEhOsFRL,0.0399,0.589,0.795,0.0,0.0615,-5.393,0.0501,101.036,0.608,249600,1,0,4,20
The Message,Jay Rock,6o4dnBEHk15nBNUmBEvGxB,0.0526,0.529,0.847,0.0,0.0921,-6.957,0.432,78.904,0.356,241568,10,0,4,26
The Messenger,Johnny Marr,52oxX6hitSrTL6uDkt8x7p,8.94e-05,0.466,0.679,0.192,0.331,-6.198,0.0306,117.038,0.541,269893,9,0,4,26
The Mystery Zone,Spoon,7rpyAPX7jfnUX6QQfjCzw7,0.362,0.789,0.547,0.000161,0.137,-6.557,0.0311,119.142,0.728,299200,9,1,4,29
The One That Got Away,The Civil Wars,7fT3QRvdQ5I4ac5TrxGlCz,0.704,0.435,0.298,6e-06,0.0446,-9.929,0.0297,145.895,0.227,213333,2,0,4,44
The Ones In Your Dreams,Donavon Frankenreiter,7JocpPtW9lJnFPM6jjX7qp,0.132,0.802,0.617,1.21e-05,0.107,-7.723,0.0303,111.028,0.896,152507,4,1,4,35
The Only Hope For Me Is You,My Chemical Romance,0OByd6pqxZzsXZRj6kJYbN,0.000271,0.479,0.854,4.89e-06,0.117,-4.129,0.0548,125.92,0.129,272773,6,1,4,54
The Only Sound That Matters,Robert Plant,5auORZNdCk5hK974YUisoW,0.255,0.633,0.534,0.0461,0.0608,-8.753,0.0281,114.49,0.528,223373,0,1,4,22
The Orphan King,Mary Gauthier,1VwO4ZJm7ZceTCVyBmvHdl,0.819,0.339,0.399,9.06e-06,0.098,-7.252,0.0325,164.1,0.246,196200,9,1,3,2
The Other Side,Jazmine Sullivan,4L5IkQpsDTx5Ug7hvMrsx1,0.0562,0.561,0.621,0.0,0.221,-4.207,0.0424,125.005,0.435,217707,11,0,4,41
The Other Side Of Down,David Archuleta,24jePqBrd5YvBsMaI85O8h,0.0789,0.878,0.77,0.000128,0.0632,-4.431,0.0434,124.986,0.715,193933,8,0,4,23
The Other Side of Liverpool,Ringo Starr,1BjxLrgk7m3RAm2BUDxVDv,0.109,0.672,0.793,3e-05,0.229,-4.553,0.0388,110.972,0.897,202880,11,0,4,9
The Pact (I'll Be Your Fever),Villagers,6KdfrxzF7GrhuX9LxB7w3i,0.412,0.611,0.512,0.00766,0.063,-11.806,0.0281,149.934,0.892,208800,7,1,4,35
The Past,Korn,0DvcY2GZmcAAU9eB0kghaR,0.00344,0.408,0.891,0.158,0.109,-4.053,0.156,150.654,0.46,305507,7,1,4,30
The Queen of Lower Chelsea,The Gaslight Anthem,45Efs55nNsWhFP99B1vNYT,0.00375,0.701,0.78,0.00164,0.105,-6.678,0.0244,105.0,0.749,219187,7,0,4,32
The Radiance,Linkin Park,0qRTXZiHrbYUcFbP5rb9cW,0.573,0.348,0.925,0.000363,0.363,-10.886,0.546,87.71,0.0381,57800,6,0,4,36
The Reason Why,Little Big Town,6VToT7wENF6e4CqSCUB7AN,0.0121,0.581,0.43,1.89e-05,0.114,-5.053,0.0287,95.967,0.536,292640,0,1,4,20
The Recluse,Plan B,0rFSiqXLHBQMq9UO5sy2o1,0.114,0.619,0.932,1.21e-06,0.097,-2.623,0.0452,124.052,0.545,200613,5,1,4,16
The Sea,Corinne Bailey Rae,6TeQRVEFujgz57KQmrM6Sb,0.314,0.522,0.647,0.000407,0.116,-9.019,0.0936,91.954,0.603,193400,11,0,4,25
The Sex Is Good,Saving Abel,1AgQqthiTBuJBzkv0o5cFT,0.102,0.757,0.634,0.0,0.103,-7.993,0.0299,119.985,0.76,211453,5,0,4,57
The Show Goes On,Lupe Fiasco,4NTWZqvfQTlOMitlVn6tew,0.0189,0.591,0.889,0.0,0.155,-3.839,0.115,143.067,0.65,239613,7,1,4,73
The Sky's The Limit,Jason Derulo,5MiRdR9TLtpUyXDDTO2Lgd,0.0737,0.655,0.759,0.0,0.368,-3.544,0.0352,125.109,0.594,222827,0,1,4,34
The Song Goes On,Herbie Hancock,2aUtF0eSYINIdo4zClP39V,0.457,0.349,0.725,5.35e-05,0.29,-7.589,0.0437,143.088,0.172,468893,2,1,4,6
The Sound of Sunshine,Michael Franti & Spearhead,6iBWazas8QsDtBnjlXkrXk,0.0164,0.673,0.902,0.0145,0.269,-4.886,0.0553,97.007,0.704,225133,10,1,4,58
The Space In Between,How To Destroy Angels,1YzbEChYqIWSWp1fnZy9Ez,0.388,0.515,0.855,0.877,0.186,-10.025,0.0631,147.999,0.229,214509,10,1,4,48
The Spell That You Cast,Elvis Costello,742ZGD0cIyNcpoeupVL0AT,0.0621,0.53,0.788,5.44e-05,0.0923,-7.982,0.0463,139.106,0.845,151413,10,1,4,2
The Story of Us,Taylor Swift,6dTA6y0C2ReQklntzZl8l3,0.00192,0.515,0.781,0.0,0.054,-2.608,0.0535,139.846,0.57,267653,4,1,4,77
The Suburbs,Arcade Fire,5iItYl3Q6wCnKVfpK1uNVf,0.0565,0.619,0.686,0.0237,0.142,-6.125,0.0265,117.777,0.538,315027,6,0,4,67
The Tailor,Blitzen Trapper,5Lkm082kMKeljfV904qjln,0.601,0.619,0.526,1.53e-05,0.0797,-10.13,0.0291,136.177,0.781,200307,0,1,4,17
The Thespian,Alesana,2JPe6EP1iDsVwiPHwvhik0,0.00116,0.319,0.973,2.18e-05,0.509,-3.194,0.175,186.99,0.293,237840,10,1,4,52
The Thrill is Gone,Fantasia,5VI1LcUIlPEW9mLlGTIN6F,0.0973,0.669,0.639,6.99e-05,0.357,-4.636,0.15,83.97,0.607,218827,10,0,4,20
The Time (Dirty Bit),The Black Eyed Peas,3TyIWEX7dDQI5tsKLEJtKA,0.0339,0.799,0.676,0.00212,0.0892,-12.642,0.0523,128.009,0.679,294191,9,1,4,0
The Train Pt. 2 (Sir Lucious Left Foot Saves The Day),Big Boi,4tUMNhk9PY5r3mWCPUwqWw,0.0673,0.534,0.631,0.000178,0.146,-5.971,0.339,85.807,0.441,320987,9,0,4,22
The Truth Is Who You Are,Tenth Avenue North,1zyHLqVRGLgTLHHOgmEdm5,0.0317,0.499,0.521,1.22e-06,0.103,-8.596,0.0325,140.103,0.247,266107,4,1,4,22
The Un-Manifest,Haste the Day,4GfzSDNzjD0Iooz3b2kxbG,1.62e-05,0.303,0.99,8.05e-05,0.204,-2.772,0.14,199.925,0.238,195693,7,1,4,22
The Uprising,Get Cape. Wear Cape. Fly,7fSAPzaYTopd1b5rVzYWmg,0.0309,0.438,0.811,0.0,0.125,-4.205,0.071,175.987,0.4,226720,0,1,4,5
The Vulture,Pendulum,3cNsLpqu5TGoGKwM6cyZXB,6.53e-05,0.58,0.978,0.83,0.349,-3.586,0.0478,140.031,0.657,243293,1,0,4,48
The Walloping Window Blind,Natalie Merchant,51tF75Sc7eWmy07CTw0KqB,0.295,0.607,0.369,1.56e-05,0.317,-9.98,0.0344,115.085,0.644,256360,5,1,4,8
The Water,Johnny Flynn,69FraOspp1B24ZFBqlUaoV,0.855,0.489,0.28,0.000276,0.118,-11.526,0.03,124.654,0.247,254853,0,1,3,39
The Way I Feel,Keane,18mAggfWhdX9vcR4B5DwY3,0.0168,0.508,0.781,0.0,0.119,-6.919,0.0544,143.971,0.35,246160,0,1,4,48
The Way I Lie,Seal,2WtHfeLTCtC9Iyi3gKAMPV,0.408,0.587,0.694,1.42e-05,0.0984,-5.268,0.0419,171.92,0.571,274293,1,0,4,19
The Way It Goes,The Click Five,2qxs7Jg6zT3izAF7fvugWb,0.000202,0.479,0.953,8.48e-05,0.237,-1.874,0.0358,160.002,0.794,206813,1,0,4,13
The Way Love Looks,Easton Corbin,4ow4Bgf15qjzVnZx6Fs6Og,0.152,0.689,0.688,0.0,0.0952,-8.092,0.0251,133.032,0.714,161867,6,1,4,45
The Way You Love Me,Keri Hilson,0KKpZBjfqcObzTPeuONJGK,0.106,0.663,0.942,0.0006,0.338,-2.545,0.31,180.038,0.675,279080,2,1,4,24
The Weakends,Motion City Soundtrack,3WmOBraCRNgwMajxjzECLV,0.000311,0.313,0.973,0.0,0.235,-3.651,0.209,192.085,0.256,288653,1,1,4,26
The Wig He Made Her Wear,Drive-By Truckers,5eKp7oIxqWUYVTeuCF6t43,0.0168,0.608,0.628,0.053,0.118,-7.502,0.0406,114.315,0.721,347067,7,0,4,12
The Will to Survive,Pantera,1z0DNz1DmqVcL2Rnyt8Xu5,0.000103,0.385,0.982,0.000362,0.0615,-5.416,0.0961,129.247,0.193,255720,11,0,4,26
The Word Inside The Word,The Choir,5GvvgurycPWBSyuQvz8feS,0.000459,0.544,0.786,0.00197,0.174,-5.722,0.0276,130.945,0.576,229747,9,0,4,2
The Writer,Ellie Goulding,0uBWMWm5P6tuCiavbjPWS0,0.167,0.5,0.66,0.0,0.116,-5.354,0.0307,104.924,0.254,251040,9,1,3,29
Them That Do Nothing,Field Music,4QQ1N6GPMwWx47lUA3fz7Q,0.153,0.745,0.555,0.00419,0.131,-8.337,0.0263,118.221,0.544,188800,9,1,4,18
Then Again,Court Yard Hounds,121Hzf6LH7tpORc8A6iWV4,0.201,0.704,0.644,0.0,0.171,-4.933,0.0429,126.928,0.77,200227,7,1,4,8
There Goes My Baby,Enrique Iglesias,3r3F7q6U7OYBwOOScvv6v2,0.094,0.787,0.8,0.0,0.0736,-3.201,0.036,104.024,0.924,198267,0,1,4,38
There is a Way,Newworldson,22hjY9GPL53RAWK06eNrvr,0.168,0.6,0.634,0.0,0.08,-5.521,0.0437,139.945,0.465,260133,9,1,4,32
There She Goes,Taio Cruz,5tmuKTnfayZkjDlukTz3vT,0.0596,0.691,0.922,0.0,0.386,-3.766,0.152,128.058,0.72,208612,1,0,4,61
There You Go,Heart,6906dRcNhYWmrr4II8Pi3K,0.0684,0.679,0.664,5.63e-06,0.15,-5.906,0.0459,109.954,0.846,216080,5,1,4,9
There's No Tomorrow,Elton John & Leon Russell,6YSWnsrSyGtWRQmyhdD6su,0.738,0.428,0.441,0.341,0.124,-9.614,0.0286,90.578,0.25,225413,5,0,3,18
These Are the Words,James Blunt,0jc9vlikooqX0ccc7nNJ1n,0.0551,0.647,0.784,0.0,0.109,-6.522,0.0254,128.057,0.847,202693,5,0,4,43
These Days,Rudimental,7mkT9kS25nUIoNkm02Ww0n,0.188,0.654,0.798,0.0,0.15,-4.084,0.0451,92.207,0.574,211760,0,1,4,62
These Last Few Days,Lee Brice,6QxeREt18l8fFW4IWOtjjK,0.574,0.599,0.466,4.61e-06,0.105,-5.564,0.0296,106.074,0.225,227587,11,1,3,21
These Things,Buckcherry,4KcxDXelLTi0eXgDgRf38X,0.00308,0.335,0.942,0.00442,0.163,-4.086,0.079,172.302,0.284,230033,2,1,3,14
These Worries,Kid Cudi,2XQKestqcKNAxnmo5hh3Yo,0.0575,0.569,0.608,0.748,0.101,-6.092,0.0303,88.002,0.193,255520,11,1,4,50
Thieves In The Night,Hot Chip,4PaLryUWl4XOArxmegAu81,0.0138,0.628,0.719,0.0951,0.206,-5.443,0.041,134.071,0.371,368277,8,1,4,29
Things Are Changin',"Gary Clark, Jr.",2HF9OydUs28eTuiVUjQYdT,0.903,0.734,0.311,0.016,0.198,-9.47,0.0375,85.672,0.357,271160,9,1,4,46
Think About You All Of The Time,Toby Keith,2UuuDSn7guQ4rQwQECS5c7,0.0612,0.775,0.826,0.00376,0.146,-4.619,0.0267,113.056,0.924,224360,7,1,4,19
Think Sometimes,Angie Stone,0jdJ5ZXTDZ3xtkDzJTcMKE,0.463,0.427,0.767,0.0,0.42,-6.883,0.375,152.703,0.725,213827,5,0,4,5
Thinking 'Bout Somethin',Hanson,2XXk0ysly7CDumr2MS9fnl,0.153,0.569,0.947,7.59e-05,0.0755,-4.482,0.0607,89.997,0.829,225360,9,1,4,33
Thinking Of Me,Olly Murs,4CqpfPcxqJS2COMcA3DmNr,0.239,0.774,0.779,0.0,0.189,-4.683,0.0284,109.032,0.958,205533,0,1,4,46
Third of Life,A Weather,55bIoSvXo81T7JUQqJZf9C,0.798,0.59,0.366,0.156,0.0836,-11.421,0.0254,106.432,0.221,383200,11,1,4,4
Third World Woman,Amy Grant,09RCVaa0pfuCxcyH3FvUwG,0.645,0.759,0.414,2.46e-06,0.0666,-11.154,0.0495,147.96,0.682,181213,9,0,4,5
This,Ed Sheeran,0pJfsPQesJyCnR5XWZyvj9,0.95,0.588,0.0929,0.00539,0.128,-14.301,0.0443,152.139,0.502,195840,11,1,4,53
This Addiction,Alkaline Trio,2LI6D6z57Lq2QTQH6Tgsz0,2.18e-05,0.536,0.953,4.68e-06,0.114,-4.008,0.0597,107.488,0.63,154867,4,1,4,48
This Ain't A Love Song,Scouting for Girls,0XXyGdcVEHZ6CnmAlNsqKl,0.000413,0.461,0.915,0.0,0.415,-3.581,0.0456,176.701,0.526,210680,0,1,4,60
This Ain't No Love Song,Trace Adkins,07A3gDZJo7rKavXtgEXZY9,0.0688,0.502,0.87,0.000386,0.126,-5.06,0.0546,160.006,0.545,200680,4,1,4,28
This Ain't Nothin',Craig Morgan,3GfFnxBuDNay7D1srwrqZU,0.153,0.353,0.532,0.0,0.124,-5.318,0.0306,149.71,0.282,242227,6,1,4,47
This Can't Be My Life,Ruth Gerson,2h1JYDu5crWcsTOQFGSeKC,0.183,0.658,0.52,7.01e-05,0.0635,-8.689,0.0285,126.093,0.458,210286,7,0,4,0
This Far from Memphis,Easton Corbin,4a1s4abQkfbaLkWBn6uMLf,0.287,0.563,0.518,3.35e-05,0.171,-9.96,0.0305,77.991,0.38,197680,4,1,4,38
This Girl,Hunter Hayes,5VDFbSPvEq8bdog8LMayHn,0.02,0.547,0.791,0.0,0.0312,-5.001,0.0693,86.033,0.584,180815,4,1,4,46
This is Country Music,Brad Paisley,6Ray43gNA6LZxareyESwNk,0.126,0.507,0.669,0.000263,0.111,-5.104,0.0275,88.525,0.484,311640,2,1,4,45
This Is Our Song,Demi Lovato,6SyPnh5ysbRjmZHIlOKp4r,0.0892,0.356,0.611,0.0,0.178,-5.312,0.0357,129.385,0.393,178200,7,1,4,52
This Love (Will Be Your Downfall),Ellie Goulding,6n7wUelYPaKsuL2HmrmlBY,0.133,0.582,0.73,0.0109,0.114,-6.648,0.0296,109.468,0.424,233760,3,0,4,29
This Love Is Over,Ray LaMontagne,1jO5kYMz6I9skWKu8Q9iS7,0.729,0.658,0.273,0.000727,0.102,-10.02,0.0309,115.498,0.42,209600,10,0,4,47
This Orient,Foals,71LaX8P6NI4dS03y4Pu3rh,0.000662,0.483,0.904,9.29e-05,0.165,-4.986,0.0326,155.017,0.568,242773,2,1,4,41
This Place Is Death,Deftones,6ECuUSXzcYP0xX8jQkfY2A,3.15e-05,0.364,0.878,0.452,0.183,-6.626,0.0737,136.037,0.0895,228933,11,0,4,56
This So-Called Love,MercyMe,1I3ZUHy8IBTTUhdI8lSEGR,0.957,0.373,0.149,0.00374,0.107,-15.846,0.0435,101.299,0.0732,96320,3,1,4,24
This Song's For You,Joey + Rory,3gkEVgz8zhDH1S3Krvujnz,0.139,0.57,0.501,0.0,0.239,-6.831,0.0268,141.114,0.28,236293,7,1,4,20
This Too Shall Pass,OK Go,3l9eeEd5NABrvYRzXIVqwK,5.34e-05,0.43,0.661,0.0063,0.135,-3.43,0.0434,160.032,0.386,188120,5,1,4,50
Threadbare,Stone Sour,0mPp1i1A5da5QDWB3FgZUg,2.13e-05,0.442,0.834,0.00033,0.109,-5.589,0.0419,121.22,0.171,344413,8,1,1,29
Three Words,Amber Pacific,1qTAuk789T0OwjxN5hQAxF,0.000136,0.452,0.946,5.1e-05,0.0764,-2.524,0.0908,181.75,0.698,195107,1,1,4,25
Thumper,Enter Shikari,5KCueinhCrpmyUJHp7mLKO,0.000473,0.361,0.909,0.0,0.137,-3.241,0.0641,86.985,0.406,224053,6,0,4,34
